gene,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
ENSMUSG00000000001,5189,4155,4469,4326,4929,5208,5357,4423,5107,4845,5852,4249
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,1147,557,540,654,1238,860,873,638,733,839,894,650
ENSMUSG00000000031,0,3,0,0,0,0,0,0,0,6,0,0
ENSMUSG00000000037,27,0,12,15,27,11,52,11,4,12,15,6
ENSMUSG00000000049,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000056,659,998,973,1123,667,714,843,600,688,963,1087,1039
ENSMUSG00000000058,3154,851,1441,1383,3086,1449,1344,1690,1948,3011,3883,887
ENSMUSG00000000078,7673,5555,5760,6004,7325,8338,8088,5887,7111,6050,7116,6191
ENSMUSG00000000085,496,195,181,208,506,404,418,220,372,574,281,405
ENSMUSG00000000088,2943,3911,4651,5280,3233,3750,4144,3443,4103,3427,3483,4968
ENSMUSG00000000093,6,0,4,1,1,0,0,4,2,1,0,0
ENSMUSG00000000094,0,0,0,0,2,1,0,0,0,0,0,0
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,1,3,0,0,0,0,0,4,0,0,0,0
ENSMUSG00000000125,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000126,30,2,2,4,5,10,0,4,1,9,0,0
ENSMUSG00000000127,693,577,690,517,520,502,481,461,551,509,645,477
ENSMUSG00000000131,3073,2360,2848,2788,2805,2685,3040,2459,2773,3405,3339,2829
ENSMUSG00000000134,3825,3688,4246,3940,3995,3963,3841,3639,3729,4217,4018,4164
ENSMUSG00000000142,2,2,0,0,0,0,1,1,0,1,0,0
ENSMUSG00000000148,536,438,539,478,489,541,521,374,440,621,689,558
ENSMUSG00000000149,5119,3248,3721,3705,4676,3255,3544,2556,2989,6844,7148,3939
ENSMUSG00000000154,83,32,32,31,74,42,55,25,35,99,84,51
ENSMUSG00000000157,37,18,11,17,52,15,20,14,8,49,37,4
ENSMUSG00000000159,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000167,7,8,9,6,12,21,19,8,27,11,8,1
ENSMUSG00000000168,2102,1957,2349,1780,2061,2413,2868,1814,2549,1988,2046,2761
ENSMUSG00000000171,3070,3463,3466,3431,3170,3255,3793,2809,3157,3282,3414,3964
ENSMUSG00000000182,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,148,55,46,45,156,114,84,54,51,103,503,69
ENSMUSG00000000194,2588,3076,2854,2420,2638,2668,2944,2214,2347,2200,2520,2752
ENSMUSG00000000197,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000202,0,0,0,1,10,0,21,0,0,1,0,0
ENSMUSG00000000204,1690,116,118,124,1688,646,755,716,824,304,248,108
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,12,0,3,0,26,5,4,1,0,11,1,7
ENSMUSG00000000244,651,931,939,1070,693,796,894,566,675,1288,1490,1014
ENSMUSG00000000247,6,2,2,19,3,0,9,37,4,1,15,1
ENSMUSG00000000248,0,3,0,0,0,3,0,0,3,0,0,0
ENSMUSG00000000253,289,115,134,212,333,105,188,147,160,289,457,121
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,2,0,5,0,4,0,0,3,2,0,0,4
ENSMUSG00000000275,9124,3366,4282,4404,8895,5907,6047,5528,6499,5412,6837,3488
ENSMUSG00000000276,538,398,494,519,542,611,461,419,449,450,379,393
ENSMUSG00000000278,7575,5406,6544,6537,7625,6027,6411,5879,6319,9046,10078,6395
ENSMUSG00000000282,2130,1617,1898,1945,1972,1685,1913,1337,1413,2343,2331,1619
ENSMUSG00000000290,28630,37454,37992,39743,28902,41353,40716,32482,35638,30685,33742,40183
ENSMUSG00000000295,151,216,235,202,169,181,218,209,195,158,193,186
ENSMUSG00000000296,0,0,0,1,0,1,6,2,3,0,0,0
ENSMUSG00000000301,57,68,42,53,102,88,94,40,28,73,52,48
ENSMUSG00000000303,33,0,1,7,18,6,9,0,0,10,69,1
ENSMUSG00000000305,0,0,0,0,0,0,0,1,0,0,0,0
ENSMUSG00000000308,0,5,0,0,1,6,0,5,3,1,0,0
ENSMUSG00000000317,11,0,15,3,5,3,6,5,9,6,8,6
ENSMUSG00000000318,198,55,92,71,225,35,35,38,54,366,562,40
ENSMUSG00000000320,0,0,7,5,2,7,3,3,7,0,8,0
ENSMUSG00000000325,91,18,66,54,86,21,63,34,37,39,156,17
ENSMUSG00000000326,2190,1530,1508,1649,2058,1403,1786,1169,1343,2749,2970,1785
ENSMUSG00000000339,928,776,854,885,967,863,988,911,968,763,891,951
ENSMUSG00000000340,599,684,536,691,698,772,870,594,859,637,740,800
