symbol,SJ1,SJ10,SJ11,SJ12,SJ2,SJ3,SJ4,SJ5,SJ6,SJ7,SJ8,SJ9
4933401J01Rik,0,0,0,0,0,0,0,0,0,0,0,0
Gm26206,0,0,0,0,0,0,0,0,0,0,0,0
Xkr4,0,0,0,0,2,0,0,0,0,0,0,0
Gm18956,0,0,0,0,0,0,0,0,0,0,0,0
Gm37180,0,0,0,0,0,0,0,0,0,0,0,0
Gm37363,0,0,0,0,0,0,0,0,0,0,0,0
Gm37686,0,0,0,0,0,0,0,0,0,0,0,0
Gm1992,0,0,0,0,0,0,0,0,0,0,0,0
Gm37329,0,0,0,0,0,0,0,0,0,0,0,0
Gm7341,0,0,0,0,0,0,0,0,0,0,0,0
Gm38148,4,0,1,5,0,15,2,2,9,5,0,1
Gm19938,0,0,0,0,0,0,0,0,0,0,0,0
Gm10568,0,0,0,0,0,0,0,0,0,0,0,0
Gm38385,0,0,0,0,0,0,0,0,0,0,0,0
Gm27396,0,0,0,0,0,0,0,0,0,0,0,0
Gm37381,0,1,0,0,2,0,1,2,10,0,3,0
Rp1,0,0,0,0,2,12,0,0,0,0,0,0
Gm6101,0,0,0,0,0,0,0,0,0,0,0,0
Gm37483,0,0,0,0,0,0,0,0,0,0,0,0
Sox17,1,0,0,0,0,0,0,0,0,0,1,0
Gm37587,0,0,0,0,0,0,0,0,0,0,0,0
Gm7357,0,0,0,0,0,0,0,0,0,0,0,0
Gm22307,0,0,0,0,0,0,0,0,0,0,0,0
Gm38076,0,0,0,0,0,0,0,0,0,0,0,0
Gm37323,0,0,0,0,0,0,0,0,0,0,0,0
Gm7369,0,0,0,0,0,0,0,0,0,0,0,0
Gm6085,0,0,0,0,0,0,3,1,0,0,0,0
Gm6119,0,0,0,0,0,0,8,0,0,0,0,0
Gm25493,0,0,0,0,0,0,0,0,0,0,0,0
Gm2053,0,0,0,0,0,0,0,0,0,0,0,0
Gm6123,1,2,0,5,5,1,4,0,5,2,2,2
Mrpl15,953,713,774,761,969,822,1242,729,877,960,774,936
Gm37144,4,8,2,6,6,13,14,6,4,0,0,2
Lypla1,1654,1305,1084,1394,1681,1512,1392,1170,1325,1541,1729,1295
Gm37988,0,3,7,0,0,0,0,3,0,0,0,5
Tcea1,3207,2837,3214,3222,3024,3437,3553,2837,3286,2601,3662,3190
Gm6104,0,0,0,0,2,0,0,3,0,0,0,0
Gm37277,0,0,0,0,0,0,0,0,0,0,0,1
Rgs20,0,0,0,0,0,0,0,0,0,0,0,0
Gm17100,0,0,0,0,0,0,0,0,0,0,0,0
Gm37079,0,0,0,0,0,0,0,0,0,0,0,0
Gm16041,2,8,0,1,2,10,8,0,3,8,1,7
Gm17101,0,0,0,0,0,0,0,0,0,0,0,0
Atp6v1h,3461,3820,4137,4492,3538,4675,4862,4060,4397,3300,4140,4353
Gm7182,0,0,0,0,0,0,0,0,0,0,0,0
Gm37567,454,331,260,291,479,514,439,299,406,403,714,356
Gm38264,0,0,0,0,0,0,0,0,0,0,0,0
Oprk1,0,0,0,0,0,0,0,0,0,0,0,0
Gm36965,0,0,0,0,0,0,0,0,0,0,0,0
Gm22463,0,0,0,0,0,0,0,0,0,0,0,0
Gm37429,0,0,0,0,0,0,0,0,0,0,0,0
Npbwr1,0,0,0,0,0,0,0,0,0,0,0,0
Gm19214,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,956,1292,538,690,671,800,810,550,464,1638,1765,910
4732440D04Rik,27,23,119,24,21,49,37,25,27,47,43,115
Alkal1,0,0,0,0,0,0,0,0,0,0,0,0
Gm2147,0,0,0,0,0,0,0,0,0,0,0,0
Gm7417,0,0,0,0,0,0,0,0,0,0,0,0
Gm19026,18,590,692,712,20,567,442,362,369,21,26,602
St18,379,541,476,649,278,513,419,304,545,551,499,481
Gm42492,0,0,0,0,0,0,0,0,0,0,0,0
Gm7449,0,0,0,0,0,0,0,0,0,0,0,0
Gm37108,0,2,1,0,0,1,0,0,0,0,1,1
Gm37275,0,0,0,0,0,0,0,0,0,0,0,0
Gm37225,0,0,0,0,0,0,0,0,0,0,0,0
Gm37489,0,0,0,0,0,0,0,0,0,0,0,0
Gm5694,0,0,0,0,0,0,0,0,0,0,0,0
Pcmtd1,1164,1372,1324,1418,1129,1187,1440,806,826,1176,2019,1391
Gm26983,0,0,0,0,0,0,0,0,0,0,0,0
Gm38372,21,6,3,17,14,14,17,13,9,12,65,16
Gm9826,0,0,0,0,0,8,0,0,0,0,0,0
Nras-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm23274,0,0,0,0,0,0,0,0,0,0,0,0
Gm19002,0,0,0,0,0,0,0,0,0,0,0,0
Gm26901,34,4,1,2,5,4,127,5,9,7,1,25
Gm18984,0,0,0,0,0,0,0,0,0,0,0,0
Gm30414,0,0,0,0,0,0,1,0,0,0,0,0
Gm37791,0,0,0,0,0,0,0,0,0,0,0,0
Gm7470,0,0,0,0,0,0,0,0,0,0,0,0
Rps2-ps2,0,0,0,0,0,0,0,0,0,0,0,0
Gm38216,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,0,0,0,0,0,0,0,0,0,5,0,2
Gm38024,8,9,0,1,1,2,0,0,0,2,13,13
Gm16284,0,0,0,0,0,0,0,0,0,0,0,0
Gm38259,0,0,0,0,0,0,0,0,0,0,0,0
Gm23358,0,0,0,0,0,0,0,0,0,0,0,0
Gm37005,0,0,0,0,0,0,0,0,0,0,0,0
Gm15452,0,0,0,0,0,0,0,0,0,0,0,0
Gm36964,0,0,0,0,0,0,0,0,0,0,0,0
Gm24276,0,0,0,0,0,0,0,0,0,0,0,0
Gm6152,0,0,0,0,0,0,0,0,0,0,0,0
Gm7445,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,0,0,0,4,0,0,0,0,0,0,0,0
Gm37629,0,0,0,0,0,0,0,0,0,0,0,0
Gm38008,0,0,0,0,0,0,0,0,0,0,0,0
Gm37143,0,0,0,0,0,0,0,0,0,0,0,0
Gm6187,0,0,0,0,0,1,0,0,0,0,0,0
Gm18299,0,0,0,0,0,0,0,0,0,0,0,0
Gm7512,0,0,0,0,0,0,0,0,0,0,0,0
Gm24765,0,0,0,0,0,0,0,0,0,0,0,0
Gm18300,0,0,0,0,0,6,0,1,0,0,0,0
Rrs1,1350,1517,1564,1663,1122,1753,1838,1440,1787,899,948,1617
Adhfe1,18,279,271,272,24,160,169,253,182,42,45,199
