"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",2.26736069717157,0.160972069487428,0.681597625676561,0.128911415655557,NA
"0610009B22Rik",378.488620431403,0.276203464613663,0.201549451402687,0.147847097467816,0.291762384464884
"0610009E02Rik",13.7727020510328,0.680140880375694,0.922061626645031,0.0738026624205023,0.16948463907991
"0610009L18Rik",26.1569077401635,0.532071982915867,0.630281386207286,0.159568606633054,0.308942876534125
"0610010F05Rik",937.394752301379,-0.550343527932717,0.147598148367145,0.000124732819458389,0.000622683801634461
"0610010K14Rik",402.228237739561,-0.610655956080585,0.211706154818963,0.00223040022597909,0.00859887244198784
"0610012G03Rik",1714.81452224441,-0.0407542891207713,0.109938328682605,0.706601031426202,0.836189312098375
"0610030E20Rik",840.453980178622,0.0883463569648822,0.145829052209843,0.535314973624424,0.713453779366836
"0610037L13Rik",700.567626336052,0.125460366263935,0.194361110834451,0.501688274481602,0.685698896775042
"0610038B21Rik",60.7164137641417,1.32276803819309,0.542928973449386,0.00221803477443133,0.00855743251165442
"0610039K10Rik",2.79589706739798,-0.0308559456828924,0.641581408703383,0.824982392084269,NA
"0610040B10Rik",13.8982690078806,0.249635119735716,0.626678281823306,0.391845059989437,0.582941350466007
"0610040J01Rik",4.58178650805195,0.298488439231059,0.708083799155926,0.195266225772107,0.35843574907653
"1010001B22Rik",2.27712684140345,-0.018404051289819,0.646115182183987,0.880330202909994,NA
"1110002J07Rik",141.547298461485,-0.724842138195717,0.362284823673976,0.019062665823626,0.0561623623894583
"1110002L01Rik",130.40686126276,-0.0864243581410045,0.332938770519587,0.761108521340926,0.87132020919371
"1110004F10Rik",3187.50880562917,0.0220481314577391,0.0856594283055006,0.797203439815864,0.893912627049563
"1110006O24Rik",19.1578119740625,0.384267592245895,0.64106019770133,0.255536549936369,0.435165727934536
"1110008L16Rik",252.011278970522,0.362023897654125,0.241917306535657,0.106842197522529,0.226825413991679
"1110008P14Rik",1645.94811962895,2.16930312576364,0.11298940078311,3.45940516283966e-83,2.47456549486008e-81
"1110012L19Rik",278.214920199597,0.497967477816449,0.229880627709496,0.0204357661024736,0.0594358911551797
"1110013H19Rik",3.83811076829267,0.0761470617192684,0.642910025354979,0.629078819799964,0.783757387291969
"1110017D15Rik",2.38943823990114,0.0491731382553195,0.643473321430712,0.734294376494684,NA
"1110019D14Rik",70.6672914740818,-0.375173048334724,0.407260381225716,0.247248410347498,0.425748564104933
"1110020A21Rik",12.1982316132172,0.298826602482427,0.628518894001905,0.33812664242544,0.526933374064376
"1110025M09Rik",20.1530978383458,-0.422415782573709,0.631201286511481,0.229095192674158,0.402125749935408
"1110032A03Rik",162.671273468529,0.458153542096967,0.312117892745134,0.0960290129095452,0.209179623170043
"1110035H17Rik",8.79577852756325,-0.0174457955543728,0.593209239844769,0.941399664191162,0.972067538029499
"1110038B12Rik",541.220110584101,-0.108525072793051,0.183621029379817,0.536430111830946,0.714340475964397
"1110038F14Rik",466.394281268407,-0.236472442218911,0.201766091857149,0.217062585424477,0.386343180513415
"1110046J04Rik",39.6824831103879,-0.326540171672942,0.497562860862844,0.344769721487879,0.534349324343892
"1110051M20Rik",232.508307687622,-0.104400951681241,0.246517780678145,0.645744640178335,0.796097073793628
