,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
0610005C13Rik,2.26736069717157,0.0946154636222465,0.543963495431936,0.224812640102588,,0.4609234740986251
0610009B22Rik,378.488620431403,0.0282736601357512,0.195359089560452,0.876144671641161,0.942524411363191,0.9542458476499421
0610009E02Rik,13.7727020510328,0.0326692504987827,0.48633191707181,0.873674835731854,0.941423965188177,0.9535362514885228
0610009L18Rik,26.1569077401635,-0.0888412874028066,0.450454013835676,0.720497958313014,0.856389986703327,0.8810976594911811
0610010F05Rik,937.394752301379,0.0184955869360891,0.141591357925642,0.893293771433022,0.951325036388559,0.9614845619875527
0610010K14Rik,402.228237739561,-0.881590367503288,0.216572748021901,1.26947207043523e-05,8.3315265778823e-05,9.428486266010751e-05
0610012G03Rik,1714.81452224441,0.0115019324764074,0.108786408120348,0.909814642412349,0.958754190740034,0.9675682244104237
0610030E20Rik,840.453980178622,0.101181893065967,0.143802076069035,0.46565749942785,0.672047010605813,0.7096989651336638
0610037L13Rik,700.567626336052,-0.0756309306505295,0.190270797271046,0.668257421482343,0.823114870089926,0.8514129906040702
0610038B21Rik,60.7164137641417,0.669107017409607,0.511320489359781,0.0503883578844575,0.136402959122228,0.15397870175673584
0610039K10Rik,2.79589706739798,-0.0080975273613848,0.525704898851033,0.929039883308971,,0.975205818611502
0610040B10Rik,13.8982690078806,0.137721668987184,0.509774846309212,0.501378871469379,0.70195810525158,0.7379446568536231
0610040J01Rik,4.58178650805195,0.0475285323225476,0.51492626316815,0.747932767986276,0.873372827707646,0.8948165763482785
1010001B22Rik,2.27712684140345,0.0374689311545087,0.531356403859546,0.639659209704413,,0.8330904224686246
1110002J07Rik,141.547298461485,-0.215738611827753,0.312339399363952,0.395948661787434,0.60893317749416,0.6471710017404788
1110002L01Rik,130.40686126276,0.197342270700583,0.320085128869369,0.446445914851806,0.655008361716706,0.6928705372837548
1110004F10Rik,3187.50880562917,-0.0555492238378753,0.0851983008497923,0.516538890583267,0.713918973602548,0.749177214851013
1110006O24Rik,19.1578119740625,0.496077040910537,0.712003260004243,0.0878866782199829,0.210952987655507,0.23682220257242534
1110008L16Rik,252.011278970522,0.166210896946402,0.231879313373523,0.426852294202528,0.637607014974604,0.675961661650342
1110008P14Rik,1645.94811962895,1.80017141431005,0.113427566763942,1.0962312618335699e-57,7.282517985272539e-56,8.241361311671065e-56
1110012L19Rik,278.214920199597,0.123147546343706,0.21840953081565,0.537859864641073,0.731841487273564,0.7661195406521119
1110013H19Rik,3.83811076829267,0.0922066572293746,0.537408624811796,0.370196086487402,,0.6200910512713672
1110017D15Rik,2.38943823990114,-0.0148430855496272,0.526576209443995,0.876126803328857,,0.9542458476499421
1110019D14Rik,70.6672914740818,-0.466221105218846,0.418539442263737,0.120149226801041,0.267657078243408,0.29869878535837135
1110020A21Rik,12.1982316132172,0.0387485627753133,0.482575720712108,0.85618162180696,0.93355925477612,0.9470587767301866
1110025M09Rik,20.1530978383458,-0.0122861524560291,0.453515468309598,0.955061210715899,0.979516433582876,0.985035249846465
1110032A03Rik,162.671273468529,0.540837425627186,0.316799387462725,0.0402264406903778,0.113917505998272,0.12877248101999705
1110035H17Rik,8.79577852756325,-0.0447914406252532,0.501358304331107,0.800516870912095,0.904902105410836,0.9219210205836009
