id	IRRP1	IRRP2	IRRP3	RP1	RP2	RP3	V1	V2	V3	symbol
ENSMUSG00000102693	0	0	0	0	0	0	0	2	0	4933401J01Rik
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	Gm26206
ENSMUSG00000051951	0	0	0	0	0	0	0	0	0	Xkr4
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	Gm18956
ENSMUSG00000103377	0	0	0	0	0	0	0	0	0	Gm37180
ENSMUSG00000104017	0	0	0	0	0	0	0	0	0	Gm37363
ENSMUSG00000103025	0	0	0	0	0	0	0	0	0	Gm37686
ENSMUSG00000089699	0	0	0	0	0	0	0	0	0	Gm1992
ENSMUSG00000103201	0	0	0	0	0	0	0	0	0	Gm37329
ENSMUSG00000103147	0	0	0	0	0	0	0	0	0	Gm7341
ENSMUSG00000103161	0	0	0	0	0	0	0	0	0	Gm38148
ENSMUSG00000102331	0	0	0	0	0	0	0	0	0	Gm19938
ENSMUSG00000102348	0	0	0	0	0	0	0	0	0	Gm10568
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	Gm38385
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	Gm27396
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	Gm37381
ENSMUSG00000025900	0	0	0	0	0	0	0	0	0	Rp1
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	Gm6101
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	Gm37483
ENSMUSG00000025902	3	13	19	6	60	20	5	7	13	Sox17
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	Gm37587
ENSMUSG00000102269	0	0	1	1	0	1	0	0	0	Gm7357
ENSMUSG00000096126	0	0	0	0	0	0	0	0	0	Gm22307
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	Gm38076
ENSMUSG00000104328	0	0	0	0	0	0	0	0	0	Gm37323
ENSMUSG00000102735	0	0	0	0	0	0	0	0	0	Gm7369
ENSMUSG00000098104	3	6	4	8	6	3	3	6	5	Gm6085
ENSMUSG00000102175	0	0	0	0	1	0	1	0	0	Gm6119
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	Gm25493
ENSMUSG00000103265	0	3	0	0	0	0	0	0	1	Gm2053
ENSMUSG00000103922	9	6	11	12	16	5	4	4	8	Gm6123
ENSMUSG00000033845	3220	1495	1555	1492	1320	1432	1865	1866	1753	Mrpl15
ENSMUSG00000102275	64	31	22	29	33	33	10	36	21	Gm37144
ENSMUSG00000025903	1014	930	962	779	1099	847	861	1270	996	Lypla1
ENSMUSG00000104217	0	0	0	1	0	0	0	0	0	Gm37988
ENSMUSG00000033813	2545	2582	2509	2807	3316	2868	2595	3868	2842	Tcea1
ENSMUSG00000062588	1	14	11	15	6	8	4	8	11	Gm6104
ENSMUSG00000103280	0	0	0	0	6	0	2	0	0	Gm37277
ENSMUSG00000002459	1	2	0	0	0	1	0	0	1	Rgs20
ENSMUSG00000091305	0	0	0	0	0	0	0	0	0	Gm17100
ENSMUSG00000102653	0	0	0	0	0	0	0	0	0	Gm37079
ENSMUSG00000085623	0	0	0	0	0	0	1	0	0	Gm16041
ENSMUSG00000091665	0	0	0	0	0	0	0	0	0	Gm17101
ENSMUSG00000033793	1243	1041	1209	1013	1085	1006	1127	1559	1195	Atp6v1h
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	Gm7182
ENSMUSG00000104046	0	0	0	1	0	0	0	0	0	Gm37567
ENSMUSG00000102907	0	0	0	0	0	0	0	0	0	Gm38264
ENSMUSG00000025905	0	0	0	0	0	0	0	0	0	Oprk1
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	Gm36965
