gene,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
ENSMUSG00000000001,1244,3032,3534,3870,5177,4438,3059,4366,3305
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,1341,1330,1332,1407,1508,1458,1073,1370,1125
ENSMUSG00000000031,17252,31417,30383,72365,21550,56554,23268,32386,28721
ENSMUSG00000000037,0,12,5,1,63,6,2,8,1
ENSMUSG00000000049,30,9,23,42,16,45,19,26,13
ENSMUSG00000000056,928,2438,2452,4166,2321,4123,2552,5100,3349
ENSMUSG00000000058,251,624,706,217,338,271,54,52,57
ENSMUSG00000000078,349,852,1272,856,959,936,617,728,565
ENSMUSG00000000085,764,1555,1102,852,1598,795,1131,1053,852
ENSMUSG00000000088,4450,1949,2147,1690,1569,1839,2403,1900,1811
ENSMUSG00000000093,350,511,489,1750,908,1712,354,763,641
ENSMUSG00000000094,212,614,562,914,631,882,599,683,515
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,14,51,58,43,380,151,194,110,119
ENSMUSG00000000125,9,1,8,5,1,10,3,9,10
ENSMUSG00000000126,34,77,131,41,70,92,125,83,91
ENSMUSG00000000127,122,385,367,418,492,429,343,461,346
ENSMUSG00000000131,2664,1731,1747,2362,2942,2449,2002,2344,1944
ENSMUSG00000000134,566,938,1056,1163,860,1254,827,1053,896
ENSMUSG00000000142,41,223,242,357,332,296,146,123,99
ENSMUSG00000000148,316,675,685,798,758,740,590,620,478
ENSMUSG00000000149,1295,1778,2094,1642,1824,1780,1431,1436,1235
ENSMUSG00000000154,62,27,40,6,59,14,12,16,16
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,11,3,7,2,1,0,0,0,0
ENSMUSG00000000167,33,21,28,33,39,32,22,23,10
ENSMUSG00000000168,806,2376,2233,2116,2525,2234,1760,2250,2106
ENSMUSG00000000171,4522,3018,3391,2679,2635,2941,3498,2438,2361
ENSMUSG00000000182,0,0,2,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,29,37,174,121,121,121,59,27,32
ENSMUSG00000000194,644,1113,1338,1614,1392,1621,860,1215,957
ENSMUSG00000000197,2,17,14,31,62,33,35,0,20
ENSMUSG00000000202,213,68,114,82,93,37,60,28,27
ENSMUSG00000000204,20,17,492,15,57,17,15,44,45
ENSMUSG00000000214,0,0,0,0,0,0,0,0,0
ENSMUSG00000000215,0,0,0,0,0,0,0,0,0
ENSMUSG00000000216,0,0,0,0,0,0,0,0,0
ENSMUSG00000000223,31,169,172,238,181,242,183,169,149
ENSMUSG00000000244,13,14,83,14,51,42,26,19,8
ENSMUSG00000000247,0,0,2,0,0,0,0,0,0
ENSMUSG00000000248,0,4,2,6,12,14,7,7,0
ENSMUSG00000000253,390,253,225,224,284,220,352,233,212
ENSMUSG00000000263,0,0,0,0,0,0,0,0,0
ENSMUSG00000000266,7,123,78,123,91,123,7,11,11
ENSMUSG00000000275,663,1288,1629,2422,1761,2202,1570,2299,1945
ENSMUSG00000000276,105,279,309,422,562,542,250,342,312
ENSMUSG00000000278,1153,1848,2227,2709,2100,2680,2713,3713,2954
ENSMUSG00000000282,387,1128,1087,1614,1350,1659,1054,1338,1133
ENSMUSG00000000290,69,237,1195,656,908,614,324,368,242
ENSMUSG00000000295,1039,379,378,530,487,519,703,486,493
ENSMUSG00000000296,203,252,248,257,224,206,312,161,161
ENSMUSG00000000301,237,58,91,101,101,97,97,90,53
ENSMUSG00000000303,19,11,37,32,33,27,7,10,13
ENSMUSG00000000305,0,0,0,4,2,0,1,0,0
ENSMUSG00000000308,8,8,7,51,46,43,38,187,31
ENSMUSG00000000317,0,12,17,20,51,34,17,17,18
ENSMUSG00000000318,74,37,750,59,471,183,46,77,43
ENSMUSG00000000320,5,5,7,4,10,0,1,8,0
ENSMUSG00000000325,519,693,839,512,710,470,651,442,497
ENSMUSG00000000326,628,1581,1898,1087,1517,1245,1712,1455,1333
ENSMUSG00000000339,702,815,836,858,995,921,968,966,876
ENSMUSG00000000340,484,717,864,1573,1427,1181,804,1951,1297
ENSMUSG00000000346,3082,3741,4054,3754,4581,4086,3725,3697,3226
ENSMUSG00000000355,623,305,406,352,240,364,378,348,323
ENSMUSG00000000359,7,3,39,3,32,15,13,3,8
ENSMUSG00000000365,0,0,3,1,3,0,1,0,0
ENSMUSG00000000374,237,783,786,1218,1202,1253,670,1289,738
ENSMUSG00000000378,999,902,874,718,830,756,1036,1032,903
ENSMUSG00000000381,0,0,1,0,0,0,0,0,0
ENSMUSG00000000384,1002,2108,2062,1632,2161,1704,1673,2198,1786
ENSMUSG00000000385,0,0,2,1,9,0,0,0,0
ENSMUSG00000000386,0,44,279,23,65,37,21,78,41
ENSMUSG00000000392,213,215,283,173,200,145,91,78,92
ENSMUSG00000000394,0,0,0,0,0,0,0,0,0
ENSMUSG00000000399,2002,1268,1447,1635,1686,1709,1857,1836,1427
ENSMUSG00000000402,0,6,10,44,18,44,26,14,9
ENSMUSG00000000409,55,92,196,136,257,93,86,36,53
ENSMUSG00000000411,0,0,0,0,1,0,0,0,0
ENSMUSG00000000416,0,0,0,0,0,0,0,3,0
ENSMUSG00000000420,834,2659,3036,1276,3641,1815,2774,5227,4098
ENSMUSG00000000435,0,0,0,0,0,0,0,0,0
ENSMUSG00000000439,444,997,1006,1803,1099,1198,892,1127,841
ENSMUSG00000000440,19,19,68,67,46,59,29,34,24
ENSMUSG00000000441,2100,1618,1721,2338,2541,2550,1629,1953,1734
ENSMUSG00000000486,57,67,116,79,102,89,79,54,51
ENSMUSG00000000489,139,159,222,167,336,227,162,69,115
ENSMUSG00000000530,284,315,441,158,607,270,169,289,261
ENSMUSG00000000531,357,1061,1013,925,1194,989,864,934,801
ENSMUSG00000000532,169,392,542,529,541,585,342,495,358
ENSMUSG00000000538,704,1275,1573,1775,1569,1869,1207,1898,1363
ENSMUSG00000000544,0,0,0,8,0,9,0,0,0
ENSMUSG00000000552,695,1387,1748,1522,1820,1649,1091,1195,1054
ENSMUSG00000000555,682,1990,1980,1448,1865,1768,1217,1382,1120
ENSMUSG00000000560,0,0,0,0,1,0,0,0,0
ENSMUSG00000000561,2505,2755,2632,4309,4364,4642,2513,3475,2814
ENSMUSG00000000562,4,2,29,10,10,11,5,5,1
ENSMUSG00000000563,7594,5382,5261,5943,6663,5908,6266,7045,6004
ENSMUSG00000000567,206,362,355,365,149,329,239,711,467
ENSMUSG00000000568,6675,6811,6681,6901,7441,7121,7111,6983,6567
ENSMUSG00000000579,44,137,229,484,286,487,176,317,207
ENSMUSG00000000581,868,935,1229,787,818,807,1290,1251,1074
ENSMUSG00000000594,534,1660,2517,1829,1905,1842,1889,1488,1446
ENSMUSG00000000600,724,978,1077,1319,1817,1458,782,1265,892
ENSMUSG00000000605,348,775,1003,867,1312,1100,842,1030,966
ENSMUSG00000000606,0,2,0,0,0,0,0,1,0
ENSMUSG00000000617,0,0,0,0,0,1,0,0,0
ENSMUSG00000000627,10,2,30,7,91,131,2,7,47
ENSMUSG00000000628,3001,1190,1208,1793,1460,1747,1294,2303,1835
ENSMUSG00000000631,340,739,1056,1081,1471,1669,981,1286,863
ENSMUSG00000000632,0,1,0,1,0,1,2,0,0
ENSMUSG00000000673,324,243,252,100,229,131,284,228,188
ENSMUSG00000000682,242,96,590,89,208,165,118,78,56
ENSMUSG00000000686,0,19,44,16,39,14,9,21,14
ENSMUSG00000000690,2,1,2,1,2,0,1,0,3
ENSMUSG00000000693,220,265,476,419,359,389,310,449,343
ENSMUSG00000000701,0,0,0,0,0,0,0,0,0
ENSMUSG00000000706,0,0,1,7,2,1,3,1,2
ENSMUSG00000000708,291,512,687,553,744,649,415,884,608
ENSMUSG00000000711,259,1096,1307,1452,1247,1369,942,1107,1015
ENSMUSG00000000724,0,1,0,0,0,0,0,0,0
ENSMUSG00000000730,51,19,32,12,9,11,16,33,13
ENSMUSG00000000731,5,4,11,0,3,4,19,72,34
ENSMUSG00000000732,93,201,331,218,552,325,200,271,213
ENSMUSG00000000738,2297,930,892,607,1479,851,834,830,605
ENSMUSG00000000739,517,459,448,310,823,538,440,424,294
ENSMUSG00000000740,103468,29083,30078,30502,33072,32509,32250,30895,27869
ENSMUSG00000000743,1621,1650,1718,1259,2203,1398,1647,1473,1321
ENSMUSG00000000751,2324,3492,3509,6018,4533,5969,5512,6374,5144
ENSMUSG00000000753,2912,3733,3273,6844,4452,5494,4631,4785,4151
ENSMUSG00000000759,3019,4516,4305,3756,2205,3576,9737,7551,6744
ENSMUSG00000000766,0,0,1,0,0,0,0,1,0
ENSMUSG00000000776,930,1066,1209,1302,1369,1284,796,840,709
ENSMUSG00000000782,347,879,860,1193,974,1177,743,1061,930
ENSMUSG00000000787,3228,9006,9257,11978,11145,11846,8899,11505,9116
ENSMUSG00000000791,6,16,29,11,13,10,2,4,4
ENSMUSG00000000792,1,10,4,12,15,9,5,24,11
ENSMUSG00000000794,2,20,9,3,38,8,8,0,2
ENSMUSG00000000804,194,663,819,1312,1024,1528,722,1421,971
ENSMUSG00000000805,2,0,0,0,14,1,0,20,0
ENSMUSG00000000811,598,527,531,409,735,479,525,560,508
ENSMUSG00000000817,0,15,6,3,10,4,10,4,8
ENSMUSG00000000823,230,1443,1818,2448,3134,2730,1170,2221,1692
ENSMUSG00000000826,662,2187,2465,2792,2527,3082,1894,2884,2282
ENSMUSG00000000827,1456,1443,1917,1886,1952,2189,1889,2325,1768
ENSMUSG00000000838,744,2266,2268,2500,2131,2445,1773,2942,2319
ENSMUSG00000000861,0,0,10,3,14,6,0,13,22
ENSMUSG00000000869,6,9,5,13,8,7,2,9,8
ENSMUSG00000000876,336,505,465,618,558,700,464,529,618
ENSMUSG00000000881,265,585,536,527,308,527,509,523,470
ENSMUSG00000000884,563,283,333,279,202,274,318,292,220
ENSMUSG00000000889,0,0,1,0,0,0,0,0,0
ENSMUSG00000000901,633,268,263,232,444,277,447,311,283
ENSMUSG00000000902,2205,1524,1555,1794,2074,1959,2123,2094,1705
ENSMUSG00000000903,0,0,0,0,2,1,0,0,0
ENSMUSG00000000915,2145,3532,3073,4060,4776,4090,1379,2380,1775
ENSMUSG00000000916,1048,721,784,902,633,845,689,691,511
ENSMUSG00000000934,1311,774,827,912,793,996,787,844,669
ENSMUSG00000000938,2,1,0,0,3,2,0,0,0
ENSMUSG00000000942,0,0,1,0,7,0,3,0,0
ENSMUSG00000000948,6,69,57,117,221,174,33,153,94
ENSMUSG00000000957,3941,4413,4165,3823,6276,4478,5368,6628,5705
ENSMUSG00000000958,79,102,226,138,166,266,114,82,90
ENSMUSG00000000959,1108,1276,1327,1267,1627,1524,1259,1289,976
ENSMUSG00000000976,179,839,1033,1247,1320,1484,989,1335,1084
ENSMUSG00000000982,11,25,44,61,6,43,34,70,35
ENSMUSG00000000983,19,2,4,1,0,2,2,2,0
ENSMUSG00000001014,21,3,8,0,7,5,2,2,3
ENSMUSG00000001016,3027,3136,3307,3506,4132,3926,3343,3231,2936
