"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"0610005C13Rik",17.2967162795169,-3.32056507233243,0.926830576210837,2.32421133604889e-05,0.00228865663042101
"0610009B22Rik",230.69727154738,-0.00653111973828866,0.208723339511248,0.967761763038678,0.984319227498682
"0610009E02Rik",18.7017665371208,0.0917468073994071,0.314481622830035,0.313459430902778,0.552322316282407
"0610009L18Rik",19.1243509201927,0.0180753519882013,0.275678466089327,0.888642942707156,0.946130909719195
"0610010F05Rik",557.429586431725,0.24491578918074,0.234950006989631,0.151988728387621,0.375231922997071
"0610010K14Rik",338.790358030274,0.459790183956277,0.481202145513845,0.0403246583396648,0.192042654017868
"0610012D04Rik",2.12900350887747,-0.0646866055933135,0.312559910756099,0.31612758208461,NA
"0610012G03Rik",804.119397279739,0.389152371098403,0.359188719048935,0.0600671549231109,0.234201986838613
"0610030E20Rik",773.365321537889,-0.713706438351746,0.335736511768317,0.00350412554179525,0.0587690908608856
"0610033M10Rik",2.46683087379298,-0.00470320128251705,0.302519962396358,0.931375955833683,NA
"0610037L13Rik",767.71248397016,0.303433150116156,0.342296915083285,0.105216919658935,0.311951088820489
"0610038B21Rik",38.9207901179389,0.0911195706253583,0.290254436914868,0.483602309956983,0.698404680417922
"0610039K10Rik",1.95391080494049,0.00102185117442616,0.306030159246188,0.986129982487759,NA
"0610040B10Rik",20.7371922421761,0.120108178456054,0.312403578399806,0.315076042564201,0.553569381446374
"0610040J01Rik",3.95188322777957,0.029632784683993,0.308489492821481,0.530931049346239,NA
"1010001B22Rik",10.2084745747058,0.160230935027255,0.366341574230899,0.0305912039332215,0.169135523031533
"1010001N08Rik",9.6531967082162,-0.0719033968447529,0.308383039874885,0.409971719525422,0.638946155779503
"1110002E22Rik",181.510473533353,-0.228634106091866,0.345873611673668,0.15673612836819,0.381055724931839
"1110002J07Rik",2.43535026147332,0.0261712557129066,0.308023867894698,0.580005259967223,NA
"1110002L01Rik",275.34960075745,-0.255511420782945,0.34728456756438,0.137777595914072,0.358178159282114
"1110003F10Rik",2.65938724063032,-0.100600581401265,0.324645558758767,0.181371418041348,NA
"1110004F10Rik",2013.5249363777,-0.104872582903448,0.149132205117193,0.419422606378475,0.647287775217398
"1110006O24Rik",24.7415007541623,0.0812537075818592,0.303100353900236,0.443984280062703,0.667727416196648
"1110008L16Rik",478.47608825068,0.256886193124514,0.333766713517299,0.146016159426493,0.367923070529126
"1110008P14Rik",416.528884330747,0.221592156381787,0.307167233554081,0.194469751078173,0.425235066484035
"1110012L19Rik",298.34608134408,0.881176538707642,0.500755149018629,0.00478981532885267,0.0693557892311187
"1110013H19Rik",6.63702812638873,0.0957139091960219,0.318184084768298,0.265758768878442,NA
"1110017D15Rik",37.5151835260693,0.409754933344078,0.508092895122416,0.0466374944208955,0.206215278639904
"1110019B22Rik",1.78679392164066,0.00625424745580573,0.305457089088644,0.905310338045896,NA
"1110019D14Rik",39.3734073495102,0.0351143724695366,0.267785228848547,0.800219617947022,0.902381117844733
"1110020A21Rik",9.64035092136113,0.0258085710080149,0.297942197216367,0.767537527416384,0.884858372006722
"1110025M09Rik",15.883361379145,0.0455345504124918,0.283357109822942,0.710507608101484,0.851313238766703
"1110032A03Rik",130.415274738874,0.184123220380989,0.220527979066565,0.26046530089643,0.500126830133664
"1110032F04Rik",2.40636096875001,0.0360263351997411,0.312800568217706,0.0735458653463313,NA
"1110035H17Rik",8.15050486631204,0.0802738030353343,0.309241381027312,0.387254754915504,NA
"1110038B12Rik",1335.58342148596,0.204307392729681,0.298401049761253,0.224549567691867,0.458384067635835
"1110038F14Rik",919.078796964253,0.653965535663266,0.626497733924724,0.0179653144152272,0.130531225487618
"1110046J04Rik",33.33624120554,0.913625709555666,0.980682948968066,0.00978511141516922,0.0981335580347471
"1110051M20Rik",761.226167874362,0.0340212815753524,0.167448040298438,0.809324022669772,0.906857508880625
"1110059E24Rik",659.471416054971,-0.0305116375507514,0.201939985953798,0.847310148296469,0.925506089745375
"1110059G10Rik",255.974335179351,0.317469077847117,0.410137454914329,0.0839073817913519,0.277943202183853
"1110065P20Rik",564.09430791707,0.855223331871839,0.420860608743655,0.00308010711713792,0.0549742862744879
"1190001M18Rik",9.7985522096904,0.0815659679218822,0.301911676945335,0.44896354472095,0.671919691941423
"1190002N15Rik",19.9001835726995,-0.0312501928380515,0.281264804156113,0.793605663912511,0.899392907746601
"1190005I06Rik",393.560962444092,2.01532367864424,0.772029878300682,0.000316754489949736,0.015346512019819
"1190007I07Rik",204.376139484413,0.1786344909572,0.241046360851231,0.284107782202137,0.52320673436165
"1300002E11Rik",95.2176722402257,0.196475922614041,0.266117277119659,0.247364034926963,0.485440576266388
"1300014J16Rik",9.54944078833655,-0.198135011836607,0.356338963878187,0.146273491168254,0.368278843896611
"1300017J02Rik",19.8704009565119,0.0833114960299139,0.318973355829793,0.222206624881127,0.456111406067536
"1500002C15Rik",71.2658537709072,0.368343906097481,0.314769728287272,0.0628021853931276,0.23972465054237
"1500002F19Rik",3.59086156634982,0.0367733566906019,0.309026024951629,0.467027906283118,NA
"1500004A13Rik",355.181713471568,-0.134216891862807,0.201090295300412,0.386759006645397,0.621055988622828
"1500005C15Rik",1.6050589592489,-0.050558099115235,0.313687572861911,0.221632516697101,NA
"1500009L16Rik",10.8556130108374,0.27282478645649,0.442202986940319,0.0601748710019585,0.234328537320018
"1500011B03Rik",149.082685873786,0.0533506072793461,0.237998386068294,0.731842851269888,0.8649997332015
"1500011K16Rik",284.739211773547,0.480662665570726,0.638556925617956,0.030472735438152,0.169025538905092
"1500015A07Rik",117.434269482323,0.17026722340217,0.307596918905268,0.265246481391967,0.505001908623857
"1500015O10Rik",487.748939138455,0.693002952222965,0.680922661835527,0.0159938152440476,0.123915718644529
"1500026H17Rik",6.13482679744861,-0.0475136399460307,0.297948969767004,0.620201077865453,NA
"1520401A03Rik",1.41353169578938,-0.00431211276322556,0.307448925851216,0.912133262293131,NA
"1600002K03Rik",65.9370369860339,0.181686112998883,0.340738711568234,0.18334813372392,0.414130101899528
"1600010M07Rik",4.51359318584039,0.027674481363598,0.305903818874729,0.646411022816294,NA
"1600012H06Rik",449.599076628086,-0.268180544092186,0.197223478614106,0.0895608701214593,0.288183618923444
"1600014C10Rik",250.419350279711,0.489227913313127,0.223147081745749,0.00657374826384528,0.081057219325884
"1600017P15Rik",1.42309551868932,0.0625935901484064,0.318137897622671,0.0699587994083092,NA
"1600020E01Rik",148.058497782916,0.170623233344679,0.294586622507818,0.282912973047704,0.521990126693516
"1600023N17Rik",7.17212638061337,-0.218262477889066,0.412206367088191,0.0338027295533165,NA
"1600029O15Rik",1.96423304632738,0.0382331952549637,0.310452110974032,0.3932001619532,NA
"1700001C19Rik",2.37764389150755,-0.0698971641945745,0.318319985764301,0.152162405410431,NA
"1700001G11Rik",3.75708551485564,0.0957510925464531,0.322553746736328,0.19190932491807,NA
"1700001G17Rik",7.40112049558005,0.0601238258189814,0.304055296225455,0.498368806646427,NA
"1700001J03Rik",3.37059823842126,-0.00452019525011148,0.304224436020088,0.937142862824364,NA
"1700001L05Rik",14.1042756940429,-0.0163749960261046,0.293685954525743,0.86215179695145,0.933694212463526
"1700001L19Rik",3.77549358189346,0.066865606889656,0.313778672560375,0.293698447244138,NA
"1700001O22Rik",8.90620225038081,0.0556091671411279,0.297913282339862,0.578388960044718,0.76630043134473
"1700001P01Rik",1.87454038028038,0.0158832201376879,0.307542397266555,0.714699452722877,NA
"1700003E16Rik",37.7051842122476,0.227994999448356,0.336591405565756,0.166251184510111,0.392506401216026
"1700003F12Rik",9.03253199111558,0.0673377619517266,0.30538049757999,0.456930067084931,0.67792284121291
"1700003I16Rik",4.52057453008958,-0.0665993097301913,0.311501984523319,0.356328793801268,NA
"1700003M07Rik",3.80007570487433,0.0437337720919762,0.304953246328579,0.553543634791371,NA
"1700006J14Rik",2.08691755905219,-0.0541520776492342,0.314341442302026,0.210939795837578,NA
"1700007E05Rik",15.2860512534411,0.21656208295573,0.389016631669731,0.085213104185016,0.280603808747415
"1700007K13Rik",2.98803240104442,0.0672463982798978,0.31698870913737,0.183525481451022,NA
"1700007L15Rik",27.5706041527692,1.09378336284459,0.69193988605697,0.00453331493315592,0.0674527430207253
"1700007P06Rik",6.19997274183635,-0.011715169250186,0.300509518253356,0.870127018454458,NA
"1700008A23Rik",3.01064233261846,-0.0219431460705608,0.303846396867115,0.736213196552513,NA
"1700008H02Rik",14.8210162300354,-0.0721640359002562,0.298154109903664,0.507412647925877,0.71607516475504
"1700008J07Rik",23.3956554817472,0.0261906746798103,0.268127889434524,0.847587721230391,0.925679940027743
"1700008O03Rik",11.5878344008116,0.0919396392347098,0.314481890740693,0.312560524009358,0.551403551002575
"1700010B13Rik",1.83116906571687,-0.00813299072828166,0.303489115840249,0.8961374936816,NA
"1700010I14Rik",62.7031433510441,-0.156502033069905,0.256958786605493,0.33962100260607,0.578478327529475
"1700012C08Rik",1.80684456535413,0.0245413875651959,0.311204050357293,0.160896529240061,NA
"1700012D14Rik",57.4972490876072,0.00136751273236962,0.255172491825543,0.994817321958012,0.997683571320461
"1700013F07Rik",11.805151972926,-0.119957995839964,0.312605906772609,0.313895917159316,0.55251136837867
"1700015I17Rik",19.7330629396586,0.162450634822583,0.316706714109061,0.254653597019713,0.494216641783465
"1700016A09Rik",2.1151195231696,0.0215896709536046,0.308487616729526,0.58739234081656,NA
"1700016B15Rik",1.43263495153095,-0.0597115397491643,0.317011959528432,0.113261893468354,NA
"1700016K19Rik",13.371580145297,0.039199077395731,0.301543279911495,0.635909681769796,0.801679180780131
"1700017B05Rik",683.901865911637,0.43662614844467,0.257733131924296,0.0225689903857543,0.145147315501478
"1700018L02Rik",31.3275685631393,-0.467537485700559,0.500061145472364,0.0391940913412839,0.190266277434067
"1700019D03Rik",18.9015375458728,-3.84317738670663,0.789087819649657,1.06293171164977e-07,3.61281245905306e-05
"1700019G24Rik",1.09207781983203,0.00408350690992799,0.307979391727133,0.925508578491349,NA
"1700019L13Rik",3.14768499435446,-0.0139275645294827,0.303268360724402,0.826352608881821,NA
"1700019N19Rik",1.11892265289601,-0.0347970817984784,0.312394004904198,0.171260547782871,NA
"1700020A23Rik",1.25638433910965,0.0274499109494179,0.311411388527,0.212527951869649,NA
