,baseMean,log2FoldChange,lfcSE,pvalue,padj,FDR_corrected_pvals
0610005C13Rik,17.2967162795169,-1.95586215749636,1.09632127552791,0.0026080974496737,0.0643149059097485,0.07777465394181296
0610009B22Rik,230.69727154738,-0.215019552418788,0.236147733858092,0.151266415148428,0.454721280368689,0.5095686946092763
0610009E02Rik,18.7017665371208,0.0852569702191802,0.271927286308639,0.188108604170188,0.500033601366538,0.5546786683682736
0610009L18Rik,19.1243509201927,0.0718431399559722,0.250987119211781,0.456584707176548,0.723605701435036,0.761937902166546
0610010F05Rik,557.429586431725,-0.119646036244936,0.200649405504678,0.381156049601932,0.671885883673976,0.7148767660888131
0610010K14Rik,338.790358030274,0.0966186720344014,0.24466130791566,0.404212867603185,0.687062364125905,0.7292413994257926
0610012D04Rik,2.12900350887747,-0.0133720927094857,0.256643576571787,0.752535553418059,,0.9148525270713233
0610012G03Rik,804.119397279739,0.0431765273072018,0.216261524494524,0.727938839815391,0.881627302417448,0.904060737695377
0610030E20Rik,773.365321537889,-0.253018583430015,0.270335600399583,0.109525031194791,0.402750652631719,0.4565287690164397
0610033M10Rik,2.46683087379298,0.0841640233354912,0.278290849678259,0.0178567234702053,,0.2239633267835875
0610037L13Rik,767.71248397016,0.352953651308112,0.398560899033934,0.0481686354268142,0.289293381288168,0.33476561931922366
0610038B21Rik,38.9207901179389,0.0788374991980069,0.253293320784525,0.418016492577213,0.697081369403914,0.7380478730407672
0610039K10Rik,1.95391080494049,0.0104950954111495,0.258015510386987,0.750870521397027,,0.9141798318620634
0610040B10Rik,20.7371922421761,0.0462269857642553,0.249388858995915,0.587092315373575,0.806644397623957,0.838944098760078
0610040J01Rik,3.95188322777957,0.0225729180458193,0.259285074122505,0.491407577908637,,0.7828269166610013
1010001B22Rik,10.2084745747058,0.0442847653267821,0.259428162681252,0.417902271726589,0.697081369403914,0.7380478730407672
1010001N08Rik,9.6531967082162,-0.152520504116434,0.321496983567772,0.0251915560400277,0.220458290381059,0.2595982292659848
1110002E22Rik,181.510473533353,-0.262655356606353,0.384798465233477,0.0623128465957284,0.320246683322535,0.36946647452566966
1110002J07Rik,2.43535026147332,0.024071800587643,0.259614602785485,0.448617138358583,,0.7565377070216884
1110002L01Rik,275.34960075745,-0.178870020014755,0.290715389954698,0.160665198753377,0.466326214172195,0.5211039054081873
1110003F10Rik,2.65938724063032,-0.0201036158715849,0.256408820569223,0.676007983708004,,0.8825930901774579
1110004F10Rik,2013.5249363777,-0.247668888324085,0.158217294380582,0.0559043694089585,0.305883723086417,0.3536913876422602
1110006O24Rik,24.7415007541623,0.115160433441545,0.283785228621154,0.144565239748643,0.446391057139854,0.5007095296623743
1110008L16Rik,478.47608825068,0.172828135637748,0.278309913608909,0.19370417883828,0.507058900394123,0.5619224060236414
1110008P14Rik,416.528884330747,0.0599366008396593,0.226859242058691,0.616790989505847,0.822677489668013,0.8531791158320043
1110012L19Rik,298.34608134408,0.234598500355723,0.322411867356007,0.105906570720014,0.397230186266441,0.4505980172524498
1110013H19Rik,6.63702812638873,-0.0320074697398043,0.254359124948898,0.608184534305599,0.81904791157316,0.8507748984621284
1110017D15Rik,37.5151835260693,0.0734182330497022,0.243910355177084,0.492753088630278,0.746874873801127,0.7837994228189672
1110019B22Rik,1.78679392164066,0.0063648940336155,0.25730081229368,0.862535263850469,,0.9574284432640016
