gene,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
ENSMUSG00000000001,24.654315,84.940942,92.266163,94.944983,120.536476,102.508422,81.423588,100.350146,92.302899
ENSMUSG00000000003,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,34.855863,48.881553000000004,45.61618,45.300180000000005,46.063608,44.18317999999999,37.472666999999994,41.320933999999994,41.220335999999996
ENSMUSG00000000031,374.540961,964.2917499999999,869.154892,1944.897105,549.704074,1431.180257,678.6558520000001,815.6063879999999,878.8239440000001
ENSMUSG00000000037,0,0.25938700000000003,0.1028,0.020342,1.1567340000000002,0.106233,0.04609,0.136327,0.03074
ENSMUSG00000000049,1.532168,0.63535,1.552127,2.630901,0.938394,2.6713,1.324926,1.547628,0.916696
ENSMUSG00000000056,11.551536,42.905786,40.214883,64.196214,33.949248000000004,59.826484,42.671866,73.641997,58.748311
ENSMUSG00000000058,7.597125,26.690781,28.162492,8.142847,12.027318,9.548139,2.194154,1.824711,2.431107
ENSMUSG00000000078,4.76017,16.418847,22.845043,14.441842999999999,15.349851000000001,14.862659,11.294154,11.503636,10.8527
ENSMUSG00000000085,18.942797000000002,54.525825000000005,36.008409,26.156528,46.577695,22.983543,37.68008400000001,30.296537,29.782273
ENSMUSG00000000088,654.9390520000001,405.593464,416.354911,307.999005,271.29706100000004,315.56454699999995,475.14809,324.350168,375.64121800000004
ENSMUSG00000000093,3.70645,7.657303,6.831038,22.939245,11.299152,21.135218,5.032513,9.368461,9.570234
ENSMUSG00000000094,3.608842,14.788515,12.627294000000001,19.287462,12.6298,17.51838,13.709585,13.501248,12.35868
ENSMUSG00000000103,0,0,0,0,0,0,0,0,0
ENSMUSG00000000120,0.179958,0.919228,0.984786,0.675443,5.710631,2.24761,3.335711,1.632237,2.150964
ENSMUSG00000000125,0.146031,0.022909,0.167442,0.099079,0.018655,0.183681,0.064632,0.164855,0.226359
ENSMUSG00000000126,0.508377,1.655052,2.605512,0.765964,1.243938,1.619919,2.532259,1.449236,1.946399
ENSMUSG00000000127,1.996149,8.914734000000001,7.9297450000000005,8.485258,9.480122,8.199461,7.549131,8.761811999999999,8.004408999999999
ENSMUSG00000000131,38.826952999999996,35.675326000000005,33.563639,42.630368999999995,50.392798,41.612740999999986,39.19845999999999,39.633815999999996,39.941482
ENSMUSG00000000134,8.866805,20.759882999999995,21.783918000000003,22.539741,15.824297,22.881977,17.394286,19.122110000000003,19.777205000000002
ENSMUSG00000000142,0.595964,4.643867,4.686166,6.493359000000001,5.733293000000001,5.076943,2.89187,2.106612,2.057387
ENSMUSG00000000148,4.824982,14.572785,13.789698000000001,15.097408999999999,13.596322,13.16829,12.102288000000001,10.985579000000001,10.285688
ENSMUSG00000000149,18.912943,36.716882,40.296167,29.68711,31.297777,30.296057,28.079064,24.328203,25.410545
ENSMUSG00000000154,2.9997,1.865762,2.561935,0.344551,3.324362,0.808663,0.794713,0.887102,1.0681630000000002
ENSMUSG00000000157,0,0,0,0,0,0,0,0,0
ENSMUSG00000000159,0.538854,0.222813,0.440179,0.132872,0.085497,0,0,0,0
ENSMUSG00000000167,1.797398,1.6592619999999998,2.062537,2.231928,2.512768,2.073927,1.6614209999999998,1.4927039999999998,0.759675
ENSMUSG00000000168,13.754076,57.306128,50.195454999999995,44.690344,50.600092,44.42071500000001,40.332548,44.520967,50.619935999999996
ENSMUSG00000000171,273.904271,258.392301,270.614149,200.897031,187.556559,207.664712,284.598345,171.260225,201.517355
ENSMUSG00000000182,0,0,0.071391,0,0,0,0,0,0
ENSMUSG00000000183,0,0,0,0,0,0,0,0,0
ENSMUSG00000000184,0.290121,0.518618,2.2715479999999997,1.481736,1.4116099999999998,1.401545,0.784177,0.313691,0.450106
ENSMUSG00000000194,8.734076,21.347660999999995,23.918040000000005,27.107107,22.188099,25.644994,15.675775999999999,19.119556,18.298119
ENSMUSG00000000197,0.0129,0.207761,0.155244,0.331779,0.622232,0.33277,0.404416,0,0.241424
