symbol,IRRP1,IRRP2,IRRP3,RP1,RP2,RP3,V1,V2,V3
0610005C13Rik,0.0,0.101282,0.23148,1.507279,2.439305,0.7054590000000001,0.935217,0.367317,0.706209
0610006L08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0610009B22Rik,17.264508,29.077872,33.25747,33.556367,26.832911,40.689417,46.876904,34.662948,36.218008
0610009E02Rik,1.434909,2.447395,2.1086430000000003,2.302197,0.0,1.500966,1.189924,0.622143,0.915122
0610009L18Rik,2.901313,2.737284,3.760977,5.139981,4.991736,1.952771,2.797082,3.492174,1.885873
0610010F05Rik,4.604265,13.354157,13.440372,7.27372,13.225589,8.364391000000001,11.164288,14.503412,13.204801
0610010K14Rik,52.448161,33.107853000000006,34.818299,33.598031,28.632293,32.186808,42.963253,40.91116,39.791543
0610012D04Rik,0.356512,0.265245,0.0,0.685256,1.066259,0.860763,0.238531,0.434601,0.534919
0610012G03Rik,39.393507,38.010349,39.438485,38.493336,27.741069,34.20351,53.506342,36.24109,42.499566
0610025J13Rik,0.0,0.151737,0.0,0.391094,0.0,0.0,0.0,0.0,0.0
0610030E20Rik,2.868028,11.085273,13.778403,18.441998,21.484927,19.573411,9.970608,15.200437,14.471762
0610031O16Rik,0.0,0.0,0.048237,0.0,0.0,0.0,0.0,0.0,0.0
0610033M10Rik,0.048566,0.523403,0.141768,0.259303,0.366103,0.249059,0.0,0.0,0.0
0610037L13Rik,64.533532,53.34028599999999,48.667238,46.243968,56.625603000000005,52.690603,46.80806400000001,39.59698099999999,37.494166
0610038B21Rik,1.747124,1.390143,0.8129599999999999,1.490066,1.315435,1.619329,0.702264,1.650836,1.422017
0610039K10Rik,0.0,0.079552,0.430237,0.203122,0.323949,0.0,0.075997,0.0,0.231873
0610040B10Rik,1.722436,1.324126,4.544054,0.6665169999999999,3.781297,1.4638190000000002,2.020794,2.434504,1.940753
0610040F04Rik,0.0,0.0,0.091591,0.0,0.0,0.039552,0.0,0.0,0.0
0610040J01Rik,0.0,0.0,0.638207,0.085258,0.053324,0.133616,0.185368,0.0,0.032252
0610043K17Rik,0.0,0.0,0.0,0.0,0.142035,0.458106,0.524541,0.0,0.0
0710001A04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1010001B22Rik,3.856148,2.684152,2.030741,1.275112,0.0,0.754308,0.943404,0.373818,4.765908
1010001N08Rik,0.023529,0.604376,0.450337,0.5008170000000001,1.064031,0.378997,0.339546,1.898992,2.468719
1100001I12Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110002E22Rik,0.260414,1.051404,0.784461,0.53048,2.459032,1.144347,0.919915,1.686209,1.6189099999999998
1110002J07Rik,0.0,0.0,0.565747,0.035099,0.167089,0.066122,0.117325,0.033223,0.0
1110002L01Rik,1.090886,9.985006,9.664037,9.767128,12.83088,13.75722,9.206203,12.106038,10.045511
1110002O04Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.572742,0.671846
1110003F10Rik,0.0,0.166117,0.49074,0.436206,1.247502,0.714456,0.339533,0.292082,0.340553
1110004F10Rik,53.34096,107.488199,112.047402,133.40283799999995,112.78003,124.875705,129.233165,120.899228,123.328274
1110006O24Rik,4.340921,1.462863,2.328101,1.654018,5.845517,1.297277,1.383521,1.712693,2.0016
1110008E08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110008L16Rik,16.854876,14.509299,11.191666,15.244613,12.93849,12.279391,15.05403,11.627555,10.723964
1110008P14Rik,49.497596,49.988490000000006,35.938905,52.443063,37.355689000000005,43.674171,57.562357,51.175637,40.129911
1110012L19Rik,24.118281,23.060588,21.742862,16.388915,8.496829,16.567143,20.170661,15.021813,17.965497
1110013H19Rik,0.652541,0.272567,1.18464,0.475437,0.676284,0.119137,1.222641,2.042166,0.405798
1110015O18Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110017D15Rik,3.070533,5.31086,1.843243,2.191492,2.44423,2.042131,2.388652,3.764332,3.4287849999999995
1110018N20Rik,0.240526,0.0,0.0,0.0,0.093502,0.0,0.0,0.0,0.0
1110019B22Rik,0.150906,0.265352,0.0,0.307231,0.072171,0.074179,0.086723,0.294086,0.0
1110019D14Rik,1.137901,4.881272,1.622728,1.776772,3.804743,2.819378,2.567437,3.465534,3.528654
1110020A21Rik,1.510659,0.43579,0.529486,1.603752,0.353723,1.387317,0.329846,0.468783,1.101232
1110025L11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110025M09Rik,1.037802,2.846432,1.788105,1.039476,2.131691,2.761079,1.216932,0.630408,2.073455
1110028F11Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110028F18Rik,0.0,0.0,0.0,0.0,0.0,0.052277,0.0,0.0,0.0
1110032A03Rik,4.201061,14.004596,12.675584,9.380554,11.842603999999998,8.597154,6.675635,7.170293,6.636673
1110032F04Rik,0.277439,0.032535,0.0,0.0,0.0,0.0,0.059123,0.0,0.0
1110035H17Rik,0.059615,1.10306,1.16857,0.50783,0.304975,0.590066,0.068582,0.34399,0.287134
1110036E04Rik,0.0,0.0,0.0,0.0,0.185974,0.194213,0.0,0.0,0.0
1110038B12Rik,308.988231,222.679869,234.64731,287.98309600000005,242.950475,268.21375600000005,197.046715,183.980314,203.492318
1110038F14Rik,86.905939,44.713902,50.861352,39.385368,44.469871,41.182334,51.774577,34.974861999999995,47.935431
1110046J04Rik,4.656863,2.778268,2.772328,2.180521,1.5273679999999998,1.121079,2.311133,1.27419,2.839433
1110051M20Rik,21.71639,41.609878,40.223802,43.279546,38.582401,43.861569,44.60267999999999,36.312091,44.755573
1110057P08Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110059E24Rik,25.712802000000003,31.957417,35.709438,46.240702,37.502326,44.646818,40.572436,41.575518,40.050812
1110059G10Rik,24.956284,16.761365,15.491024,16.41524,17.223215000000003,14.091828,20.125926,11.169394,11.758538
1110060G06Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1110065P20Rik,69.013326,67.823499,69.41874899999999,34.632706,59.32693,40.137006,63.956607000000005,44.059805,47.865498
1190001M18Rik,0.564022,0.636315,0.268914,0.431943,0.705559,0.233459,0.823904,0.767974,0.928743
1190002N15Rik,0.114446,0.431643,0.773562,0.558254,0.76792,0.369025,0.386291,0.145329,0.181568
1190005I06Rik,75.772045,27.728492,30.325573,8.250909,20.744823,12.385543,30.390728000000003,12.357812,13.35825
1190007I07Rik,30.903464,32.445054,41.563224000000005,40.341155,38.776284,33.92478,44.08288300000001,42.826607,41.448308
1190028D05Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1200007C13Rik,0.0,0.0,0.053345,0.0,0.0,0.0,0.0,0.023032,0.0
1300002E11Rik,8.721432,14.101561,12.161342,12.500712,14.63873,7.438028,10.88878,10.195606,13.383119
1300014J16Rik,0.177275,0.672605,0.31106,0.930787,1.112488,0.766709,0.452104,0.611647,0.335692
1300017J02Rik,0.351457,2.650459,2.119055,0.27171,0.2049,1.395026,0.058536,2.923277,0.080525
1500002C15Rik,1.578977,2.691166,2.781453,1.550247,2.27394,2.051627,2.666424,2.969531,1.741799
1500002F19Rik,1.390401,0.216725,0.191175,0.0,0.109457,1.067574,0.410453,0.459335,0.0
1500004A13Rik,2.170639,5.711922,5.536821000000001,6.1029860000000005,7.084729,5.559469999999999,2.952004,4.750508,4.888785999999999
1500005C15Rik,0.0,0.0,0.035362,0.225712,0.030465,0.030305,0.0,0.152787,0.037589
1500009C09Rik,0.0,0.043829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500009L16Rik,1.342022,1.511797,1.706386,0.457509,1.175583,0.732449,0.171654,0.0,0.089101
1500011B03Rik,12.187913,11.673967,17.862085999999998,20.890345,14.622554,15.837677,11.151515,8.490509,10.257973
1500011K16Rik,57.201467,28.099364,32.043185,29.348482,19.405291,29.630757,40.557214,20.288417,26.329484
1500012K07Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500015A07Rik,6.191097,5.400502,5.217689,3.274543,8.565978,4.789402,5.552232,3.158397,3.610995
1500015L24Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1500015O10Rik,74.139165,56.183539,60.310095,23.189114,60.265067,33.742786,55.306246,23.676333,27.942238
1500026H17Rik,0.014776,0.241657,0.077321,0.117238,0.22272,0.175781,0.131633,0.177763,0.246195
1500035N22Rik,0.0,0.0,0.0,0.0,0.427092,0.0,0.125437,0.0,0.0
1520401A03Rik,0.0,0.027958,0.06037,0.0,0.095633,0.0,0.06142,0.013138,0.0
1600002K03Rik,12.737933,3.401696,8.871404,8.20928,7.55129,6.302043,7.429353,5.726802,5.87509
1600010M07Rik,0.0,0.39899,2.840841,0.174341,1.631897,0.358086,0.0,0.187453,0.199582
1600012H06Rik,5.617445,14.220527999999998,13.120251,19.88311,15.532199,15.89983,16.531501000000002,17.529289000000002,15.113419000000002
1600012P17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.043041
1600014C10Rik,3.662969,8.210212,9.478729,4.796571,5.538143,6.758637,6.691039,6.264651,6.924239999999999
1600014C23Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600015I10Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05534
1600017P15Rik,0.20637,0.108482,0.272952,0.0,0.0,0.0,0.100215,0.0,0.304277
1600019K03Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600020E01Rik,9.584391,9.928858,6.684763,7.642449,12.599303,6.905353,8.254647,7.1264080000000005,5.801574
1600023N17Rik,0.184015,0.094568,0.346955,1.475292,1.279174,1.096472,0.090701,0.24239,0.934279
1600025M17Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1600027J07Rik,0.325074,0.0,0.0,0.0,0.238177,0.257813,0.0,0.0,0.0
1600029O15Rik,0.258745,0.085898,0.041397,0.0,0.164824,0.032134,0.0,0.0,0.0
1700001C02Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001C19Rik,0.0,0.0,0.148266,0.818615,0.336992,0.037433,0.0,0.271901,0.153079
1700001D01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001F09Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001G01Rik,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1700001G11Rik,0.685673,0.751349,0.468831,0.235259,0.288127,0.356526,0.0,0.39076,0.817025
1700001G17Rik,0.83809,0.475236,1.006905,0.637606,0.955948,0.389625,0.451216,0.0,0.557305
1700001J03Rik,0.536951,0.133125,0.0,0.0,0.948603,0.451725,1.163832,0.457686,1.133822
