gene,SJ_M9,SJ_M10,SJ_M7,SJ_M8
ENSMUSG00000000001,84.27712,47.594347,125.242705,107.52169
ENSMUSG00000000003,0.0,0.0,0.0,0.0
ENSMUSG00000000028,14.992951,11.443396,23.280711,19.050936
ENSMUSG00000000031,281.341113,298.823697,544.8781009999999,727.9896889999999
ENSMUSG00000000037,0.3125079999999999,0.082579,0.132931,0.079597
ENSMUSG00000000049,0.546826,0.338508,2.565171,1.488702
ENSMUSG00000000056,20.60629,19.388727,72.22739299999999,65.861644
ENSMUSG00000000058,13.718207,5.984512,13.433964,11.838847
ENSMUSG00000000078,118.235308,68.269051,151.589889,116.605001
ENSMUSG00000000085,14.072712,20.484001,34.464101,39.433461
ENSMUSG00000000088,389.260229,231.668112,196.216208,152.399028
ENSMUSG00000000093,0.972599,1.74265,5.869928,5.682264
ENSMUSG00000000094,1.263834,1.160358,1.661373,1.631933
ENSMUSG00000000103,0.0,0.0,0.0,0.0
ENSMUSG00000000120,0.775071,0.714538,0.342582,0.269701
ENSMUSG00000000125,0.0,0.0,0.0,0.12719
ENSMUSG00000000126,6.050496000000001,4.606152,24.064691,28.278673
ENSMUSG00000000127,8.667945,6.700191,14.121564,16.017748
ENSMUSG00000000131,38.22832699999999,34.919602999999995,47.45452800000001,46.56095099999999
ENSMUSG00000000134,33.621267,26.278426,44.396646,40.95393099999999
ENSMUSG00000000142,6.419988,6.219794,44.629822,47.127204000000006
ENSMUSG00000000148,7.625504999999999,6.153342,15.48581,15.497592999999998
ENSMUSG00000000149,49.980943,30.69436,33.591065,28.901295
ENSMUSG00000000154,3.155798,2.123342,2.1320300000000003,3.100221
ENSMUSG00000000157,0.0,0.0,0.0,0.0
ENSMUSG00000000159,0.0,0.0,0.0,0.056731
ENSMUSG00000000167,0.287354,0.844847,1.511276,1.046997
ENSMUSG00000000168,22.525699,23.582897,23.359726,25.740684
ENSMUSG00000000171,139.401428,98.902023,127.01407,103.968937
ENSMUSG00000000182,0.0,0.156054,0.079907,0.04443
ENSMUSG00000000183,0.0,0.0,0.0,0.0
ENSMUSG00000000184,5.829539,6.47205,1.136622,1.851889
ENSMUSG00000000194,18.205556,17.086105,44.012727,38.28464099999999
ENSMUSG00000000197,0.028051,0.03574,0.082672,0.159672
ENSMUSG00000000202,3.315838,2.945211,0.655744,0.8537710000000001
ENSMUSG00000000204,9.336409,5.210474,3.605567,3.699567
ENSMUSG00000000214,0.0,0.0,0.0,0.0
ENSMUSG00000000215,0.0,0.0,0.603269,0.0
ENSMUSG00000000216,0.0,0.0,0.0,0.0
ENSMUSG00000000223,0.2067189999999999,0.427376,3.0258960000000004,1.815403
ENSMUSG00000000244,15.352418999999998,6.393375,4.457837,2.198628
ENSMUSG00000000247,0.367336,0.496857,0.021427,0.041788
ENSMUSG00000000248,1.340532,0.934186,0.636239,0.113795
ENSMUSG00000000253,5.488514,3.541232,5.816314,4.788932
ENSMUSG00000000263,0.0,0.0,0.0,0.0
ENSMUSG00000000266,0.301834,0.195843,1.412768,1.261473
