symbol,SJ_M9,SJ_M10,SJ_M7,SJ_M8
0610005C13Rik,0.0,0.091561,0.988709,0.779078
0610006L08Rik,0.0,0.0,0.0,0.0
0610009B22Rik,19.040798,6.528234,22.142634,15.938078
0610009E02Rik,0.500317,2.028608,2.726632,1.883949
0610009L18Rik,5.138715,1.349021,10.217456,7.624379
0610010F05Rik,4.815857,4.924872000000001,11.747107,12.281398
0610010K14Rik,42.121939,27.869048,24.832135,23.426016
0610012D04Rik,0.0,0.626874,0.0,0.726801
0610012G03Rik,64.285738,41.557387,74.578688,63.45601
0610025J13Rik,0.0,0.0,0.0,0.0
0610030E20Rik,8.738931000000001,5.430026000000001,14.853898,16.079076999999998
0610031O16Rik,0.0,0.188884,0.167935,0.612081
0610033M10Rik,0.0,0.0,0.0,0.080039
0610037L13Rik,50.763076,30.678097,73.239506,64.245442
0610038B21Rik,0.8723879999999999,0.7779739999999999,2.602486,2.196383
0610039K10Rik,0.172878,0.816099,0.893477,1.422326
0610040B10Rik,1.213621,0.0,3.380825,2.716098
0610040F04Rik,0.0,0.0,0.0,0.0
0610040J01Rik,2.99009,1.471006,0.8595969999999999,0.549094
0610043K17Rik,0.0,0.0,0.361252,0.317686
0710001A04Rik,0.0,0.0,0.0,0.13802
1010001B22Rik,0.508135,0.0,0.897626,1.957221
1010001N08Rik,0.329789,0.630943,6.13615,7.659782999999999
1100001I12Rik,0.0,0.0,0.0,0.0
1110002E22Rik,0.078012,0.004422,0.612061,0.633415
1110002J07Rik,0.501587,0.403313,0.0,0.083111
1110002L01Rik,2.480157,1.782036,7.718972,6.6968
1110002O04Rik,0.0,0.0,0.209747,0.0
1110003F10Rik,0.22051,0.0,1.791666,2.203111
1110004F10Rik,76.89965699999999,54.701821,104.447046,85.78740400000001
1110006O24Rik,1.065037,0.149535,2.648495,2.196071
1110008E08Rik,0.0,0.0,0.0,0.0
1110008L16Rik,4.61419,7.727304,6.297367,6.717170000000001
1110008P14Rik,49.291341,26.009035,56.513199,42.662728
1110012L19Rik,14.34675,10.866368,20.570981,19.139137
1110013H19Rik,0.19853,0.888245,1.067758,0.588567
1110015O18Rik,0.0,0.0,0.0,0.0
1110017D15Rik,0.30873,0.0,2.786747,3.1564750000000004
1110018N20Rik,0.0,0.0,0.0,0.0
1110019B22Rik,0.0,0.16254,0.0,0.0
1110019D14Rik,2.033614,0.833586,2.021135,2.329457
1110020A21Rik,0.45644,0.196853,1.503917,0.767119
1110025L11Rik,0.0,0.0,0.0,0.262578
1110025M09Rik,1.859685,2.088562,10.793783,9.5729
1110028F11Rik,0.0,0.0,0.0,0.0
1110028F18Rik,0.0,0.0,0.0,0.0
1110032A03Rik,10.327569,10.335942,14.687713999999998,9.301757
1110032F04Rik,0.0,0.354144,0.028881,0.032744
1110035H17Rik,0.053578,0.0,0.607784,1.433656
1110036E04Rik,0.0,0.0,0.0,0.0
1110038B12Rik,92.649021,61.798095,240.651237,233.788946
1110038F14Rik,26.917733,24.736053,41.161208,39.760671
1110046J04Rik,3.1304670000000003,1.102554,5.789467999999999,5.667978000000001
1110051M20Rik,18.819825,19.166943,35.93504600000001,36.337228
1110057P08Rik,0.0,0.0,0.0,0.0
1110059E24Rik,25.610827,18.358272,24.329184,26.913333
1110059G10Rik,11.657524,6.06152,10.912138,8.629647
1110060G06Rik,0.0,0.0,0.0,0.0
1110065P20Rik,32.751836000000004,16.891367000000002,58.310688,54.874776
1190001M18Rik,0.307544,0.345111,0.203298,0.72512
1190002N15Rik,5.339695,2.910168,1.310851,1.294364
1190005I06Rik,3.152202,1.630328,4.383055,3.716959
1190007I07Rik,13.312272,6.791393,23.634665,22.798989
1190028D05Rik,0.0,0.0,0.0,0.0
1200007C13Rik,0.093015,0.159567,0.032176,0.141746
1300002E11Rik,8.41212,2.918118,11.445217,12.548159
1300014J16Rik,0.283027,0.0,1.319076,2.224054
1300017J02Rik,0.0,0.0,0.127367,0.634445
1500002C15Rik,1.134853,0.780117,4.53927,4.371377
1500002F19Rik,0.22414,0.0,0.0,1.103813
1500004A13Rik,1.874009,2.116231,7.332057000000001,6.840904999999999
1500005C15Rik,0.080863,0.0,0.252601,0.116249
1500009C09Rik,0.0,0.0,0.0,0.0
1500009L16Rik,0.0,0.0,0.86067,0.339116
1500011B03Rik,9.976756,6.47356,15.225677,14.388153
1500011K16Rik,28.818174,13.201144,12.678918,12.149986
