gene,SJ_M9,SJ_M10,SJ_M7,SJ_M8
ENSMUSG00000000001,4835,3138,5346,4179
ENSMUSG00000000003,0,0,0,0
ENSMUSG00000000028,520,456,601,448
ENSMUSG00000000031,10286,12553,14821,18031
ENSMUSG00000000037,27,8,9,5
ENSMUSG00000000049,11,8,39,20
ENSMUSG00000000056,1557,1684,4061,3372
ENSMUSG00000000058,577,289,420,337
ENSMUSG00000000078,9321,6184,8892,6228
ENSMUSG00000000085,481,804,876,913
ENSMUSG00000000088,3167,2166,1188,840
ENSMUSG00000000093,70,144,314,277
ENSMUSG00000000094,66,70,65,58
ENSMUSG00000000103,0,0,0,0
ENSMUSG00000000120,50,53,16,12
ENSMUSG00000000125,0,0,0,5
ENSMUSG00000000126,354,310,1048,1121
ENSMUSG00000000127,457,406,553,572
ENSMUSG00000000131,1402,1472,1295,1157
ENSMUSG00000000134,1778,1597,1747,1467
ENSMUSG00000000142,321,357,1659,1596
ENSMUSG00000000148,444,411,670,611
ENSMUSG00000000149,3069,2166,1535,1202
ENSMUSG00000000154,66,51,33,44
ENSMUSG00000000157,0,0,0,0
ENSMUSG00000000159,0,0,0,1
ENSMUSG00000000167,6,20,23,14
ENSMUSG00000000168,1155,1389,891,894
ENSMUSG00000000171,2486,2026,1685,1256
ENSMUSG00000000182,0,6,2,1
ENSMUSG00000000183,0,0,0,0
ENSMUSG00000000184,580,740,84,125
ENSMUSG00000000194,1519,1638,2732,2164
ENSMUSG00000000197,3,5,7,13
ENSMUSG00000000202,96,98,14,17
ENSMUSG00000000204,625,401,180,168
ENSMUSG00000000214,0,0,0,0
ENSMUSG00000000215,0,0,2,0
ENSMUSG00000000216,0,0,0,0
ENSMUSG00000000223,22,52,238,130
ENSMUSG00000000244,360,172,78,35
ENSMUSG00000000247,17,26,1,1
ENSMUSG00000000248,35,28,12,2
ENSMUSG00000000253,156,115,123,92
ENSMUSG00000000263,0,0,0,0
ENSMUSG00000000266,32,24,110,90
ENSMUSG00000000275,2532,1695,1541,1290
ENSMUSG00000000276,318,281,510,477
ENSMUSG00000000278,4844,3061,3318,2570
ENSMUSG00000000282,1009,693,978,900
ENSMUSG00000000290,8284,5422,709,577
ENSMUSG00000000295,292,423,344,245
ENSMUSG00000000296,48,65,110,121
ENSMUSG00000000301,52,52,29,55
ENSMUSG00000000303,643,412,38,44
ENSMUSG00000000305,0,0,0,0
ENSMUSG00000000308,14,22,38,23
ENSMUSG00000000317,47,29,88,111
ENSMUSG00000000318,2120,1474,1068,761
ENSMUSG00000000320,10,7,9,16
ENSMUSG00000000325,209,145,896,534
ENSMUSG00000000326,2660,2363,1970,1672
ENSMUSG00000000339,607,580,866,656
ENSMUSG00000000340,517,611,697,607
ENSMUSG00000000346,7792,4885,3223,2739
ENSMUSG00000000355,494,331,431,349
ENSMUSG00000000359,29,84,13,19
ENSMUSG00000000365,7,7,0,0
ENSMUSG00000000374,980,594,1333,1172
ENSMUSG00000000378,1136,742,854,678
ENSMUSG00000000381,0,0,0,0
ENSMUSG00000000384,768,566,1092,1169
ENSMUSG00000000385,27,0,7,8
ENSMUSG00000000386,292,157,327,119
ENSMUSG00000000392,159,126,186,209
ENSMUSG00000000394,0,0,0,0
ENSMUSG00000000399,1756,1451,1174,861
ENSMUSG00000000402,1,9,4,4
ENSMUSG00000000409,84,105,134,94
ENSMUSG00000000411,1,0,0,0
ENSMUSG00000000416,0,0,5,17
ENSMUSG00000000420,3562,3029,3308,2416
ENSMUSG00000000435,0,0,0,0
ENSMUSG00000000439,1264,1112,1126,1050
ENSMUSG00000000440,249,216,34,46
ENSMUSG00000000441,1317,1182,1668,1586
ENSMUSG00000000486,65,43,61,70
ENSMUSG00000000489,639,314,382,255
ENSMUSG00000000530,2021,1432,642,616
ENSMUSG00000000531,459,515,750,661
ENSMUSG00000000532,594,462,524,517
ENSMUSG00000000538,591,711,1381,1264
ENSMUSG00000000544,0,0,1,0
ENSMUSG00000000552,1630,1197,1425,1123
ENSMUSG00000000555,2468,2031,8097,7500
ENSMUSG00000000560,0,7,0,0
ENSMUSG00000000561,1535,1248,3151,2510
ENSMUSG00000000562,84,43,2,3
ENSMUSG00000000563,6621,5548,3470,2482
ENSMUSG00000000567,254,285,669,722
ENSMUSG00000000568,6360,4892,5058,3618
ENSMUSG00000000579,90,66,623,426
ENSMUSG00000000581,930,574,904,728
ENSMUSG00000000594,16207,14245,3279,2801
ENSMUSG00000000600,933,964,1882,1938
ENSMUSG00000000605,1093,1091,1540,1380
ENSMUSG00000000606,0,0,0,0
ENSMUSG00000000617,0,0,0,0
ENSMUSG00000000627,9,3,67,29
ENSMUSG00000000628,1880,1545,1836,1724
ENSMUSG00000000631,1716,1248,1524,1408
ENSMUSG00000000632,0,0,3,2
ENSMUSG00000000673,61,39,20,51
ENSMUSG00000000682,6145,4014,319,251
ENSMUSG00000000686,157,61,41,28
ENSMUSG00000000690,1,0,13,5
ENSMUSG00000000693,288,342,1489,1469
ENSMUSG00000000701,0,0,0,0
ENSMUSG00000000706,9,0,1,3
ENSMUSG00000000708,621,456,1348,1315
ENSMUSG00000000711,2187,1686,2534,2024
ENSMUSG00000000724,0,0,0,0
ENSMUSG00000000730,52,11,44,57
ENSMUSG00000000731,0,0,32,63
ENSMUSG00000000732,642,490,394,524
ENSMUSG00000000738,792,621,1106,1162
ENSMUSG00000000739,281,402,686,819
ENSMUSG00000000740,32665,30867,25057,18861
ENSMUSG00000000743,2356,1952,2259,2014
ENSMUSG00000000751,2170,1940,2183,1786
ENSMUSG00000000753,2198,2861,6785,6114
ENSMUSG00000000759,651,692,1271,1265
ENSMUSG00000000766,0,0,0,0
ENSMUSG00000000776,500,590,1065,957
ENSMUSG00000000782,417,347,596,529
ENSMUSG00000000787,7605,5954,10481,9553
ENSMUSG00000000791,48,51,80,33
ENSMUSG00000000792,7,10,21,15
ENSMUSG00000000794,32,13,5,8
ENSMUSG00000000804,851,669,1355,1521
ENSMUSG00000000805,25,17,18,24
ENSMUSG00000000811,241,232,346,264
ENSMUSG00000000817,1,5,4,3
ENSMUSG00000000823,663,908,4038,3557
ENSMUSG00000000826,4233,2456,4466,3642
ENSMUSG00000000827,1940,1101,2340,1742
ENSMUSG00000000838,1139,961,2283,1963
ENSMUSG00000000861,45,29,20,12
ENSMUSG00000000869,8,3,2,3
ENSMUSG00000000876,556,478,768,546
ENSMUSG00000000881,308,318,606,512
ENSMUSG00000000884,94,72,169,138
ENSMUSG00000000889,0,0,0,0
ENSMUSG00000000901,205,108,709,748
ENSMUSG00000000902,1483,1203,1356,1092
ENSMUSG00000000903,0,6,0,0
ENSMUSG00000000915,364,665,1179,1321
ENSMUSG00000000916,255,214,596,529
ENSMUSG00000000934,337,350,475,356
ENSMUSG00000000938,3,11,8,5
ENSMUSG00000000942,6,14,5,2
ENSMUSG00000000948,18,13,168,189
ENSMUSG00000000957,7641,11300,15494,14556
ENSMUSG00000000958,1052,635,270,191
ENSMUSG00000000959,912,805,943,798
ENSMUSG00000000976,464,551,1007,1047
ENSMUSG00000000982,4162,1507,394,386
ENSMUSG00000000983,29,10,5,4
ENSMUSG00000001014,0,6,0,2
ENSMUSG00000001016,2085,1838,2489,1916
ENSMUSG00000001017,3318,2802,3736,2946
ENSMUSG00000001018,1072,667,1469,1127
ENSMUSG00000001020,4800,2899,841,868
ENSMUSG00000001021,7,4,20,20
ENSMUSG00000001023,22,13,18,18
ENSMUSG00000001025,13225,12830,23026,19571
ENSMUSG00000001027,6,0,45,16
ENSMUSG00000001029,172,70,95,86
ENSMUSG00000001034,840,655,827,763
ENSMUSG00000001036,396,545,1154,1179
ENSMUSG00000001039,98,37,135,119
